sample	x.strand	overlapID	count	total_length	pos_over_neg_count	pos_over_neg_legnth
cat_Aag2Ago1.bed	-	2:290926567_290926578	1	49	1	0.0204081632653061
cat_Aag2Ago1.bed	-	2:34026017_34026056	772	24129	0.00129533678756477	4.14439056736707e-05
cat_Aag2Ago1.bed	-	3:10753950_10753972	11	234	0.0909090909090909	0.00427350427350427
cat_Aag2Ago1.bed	-	3:156627035_156627048	3	65	0.333333333333333	0.0153846153846154
cat_Aag2Ago1.bed	-	3:235670798_235670814	1	23	1	0.0434782608695652
cat_Aag2Ago1.bed	-	3:242853433_242853449	3	63	0.333333333333333	0.0158730158730159
cat_Aag2Ago1.bed	-	3:26367556_26367602	648	27566	0.00154320987654321	3.62765725894217e-05
cat_Aag2Ago1.bed	-	3:363544148_363544162	2	43	0.5	0.0232558139534884
cat_Aag2Ago1.bed	-	NIGP01001581:29102_29133	255	6450	0.00392156862745098	0.000155038759689922
cat_Aag2Ago2.bed	+	2:37746878_37746909	29	879	29	879
cat_Aag2Ago2.bed	-	1:205600861_205600871	123	4724	0.00813008130081301	0.000211685012701101
cat_Aag2Ago2.bed	-	1:205740593_205740647	1674	52956	0.000597371565113501	1.88836014804744e-05
cat_Aag2Ago2.bed	-	1:298246732_298246743	27	883	0.037037037037037	0.00113250283125708
cat_Aag2Ago2.bed	-	2:107238290_107238309	31	657	0.032258064516129	0.0015220700152207
cat_Aag2mIgG.bed	+	1:189811704_189811735	36	989	36	989
cat_Aag2mIgG.bed	+	1:223496234_223496259	23	583	23	583
cat_Aag2mIgG.bed	+	1:235479166_235479208	14	291	14	291
cat_Aag2mIgG.bed	+	1:281036113_281036155	169	4978	169	4978
cat_Aag2mIgG.bed	+	2:121270186_121270200	2	43	2	43
cat_Aag2mIgG.bed	+	2:127840697_127840707	1	60	1	60
cat_Aag2mIgG.bed	+	2:18564996_18565037	167	4722	167	4722
cat_Aag2mIgG.bed	+	2:301274067_301274080	3	66	3	66
cat_Aag2mIgG.bed	+	2:37746878_37746909	2	50	2	50
cat_Aag2mIgG.bed	+	2:413905602_413905628	80	2468	80	2468
cat_Aag2mIgG.bed	+	2:73166345_73166356	1	27	1	27
cat_Aag2mIgG.bed	+	3:10753950_10753972	1	21	1	21
cat_Aag2mIgG.bed	+	3:25849347_25849362	13	337	13	337
cat_Aag2mIgG.bed	+	NIGP01000045:7221_7249	3	121	3	121
cat_Aag2mIgG.bed	+	NIGP01001771:13766_13791	179	5755	179	5755
cat_Aag2mIgG.bed	+	NIGP01002135:1033_1046	1	49	1	49
cat_Aag2mIgG.bed	+	NIGP01002231:165728_165764	7	217	7	217
cat_Aag2mIgG.bed	+	NIGP01002231:166084_166120	13	347	13	347
cat_Aag2mIgG.bed	+	2:213711687_213711699	1	32	1	32
cat_Aag2mIgG.bed	+	2:290904767_290904794	1	21	1	21
cat_Aag2mIgG.bed	+	NIGP01001868:26418_26429	1	21	1	21
cat_Aag2mIgG.bed	-	1:116128507_116128523	4	89	0.25	0.0112359550561798
cat_Aag2mIgG.bed	-	1:140314397_140314417	2	59	0.5	0.0169491525423729
cat_Aag2mIgG.bed	-	1:205628039_205628071	49	1503	0.0204081632653061	0.000665335994677312
cat_Aag2mIgG.bed	-	1:205637047_205637074	62	1851	0.0161290322580645	0.000540248514316586
cat_Aag2mIgG.bed	-	1:205657495_205657528	264	8132	0.00378787878787879	0.000122970978848992
cat_Aag2mIgG.bed	-	1:205678231_205678289	186	5377	0.00537634408602151	0.000185977310768086
cat_Aag2mIgG.bed	-	1:205684413_205684444	43	1292	0.0232558139534884	0.000773993808049536
cat_Aag2mIgG.bed	-	1:205687066_205687091	75	2308	0.0133333333333333	0.000433275563258232
cat_Aag2mIgG.bed	-	1:205696300_205696330	158	4633	0.00632911392405063	0.000215842866393266
cat_Aag2mIgG.bed	-	1:298246732_298246743	1	27	1	0.037037037037037
cat_Aag2mIgG.bed	-	2:107238290_107238309	70	1507	0.0142857142857143	0.0006635700066357
cat_Aag2mIgG.bed	-	2:133623228_133623257	7	161	0.142857142857143	0.0062111801242236
cat_Aag2mIgG.bed	-	2:34026017_34026056	69	2021	0.0144927536231884	0.00049480455220188
cat_Aag2mIgG.bed	-	2:453152344_453152388	42	1302	0.0238095238095238	0.000768049155145929
cat_Aag2mIgG.bed	-	3:10760235_10760255	4	83	0.25	0.0120481927710843
cat_Aag2mIgG.bed	-	3:162129618_162129629	10	296	0.1	0.00337837837837838
cat_Aag2mIgG.bed	-	3:162131696_162131711	15	436	0.0666666666666667	0.00229357798165138
cat_Aag2mIgG.bed	-	3:224808414_224808430	4	83	0.25	0.0120481927710843
cat_Aag2mIgG.bed	-	3:290316982_290316993	4	85	0.25	0.0117647058823529
cat_Aag2mIgG.bed	-	3:363544148_363544162	1	21	1	0.0476190476190476
cat_Aag2mIgG.bed	-	NIGP01001581:29102_29133	24	703	0.0416666666666667	0.00142247510668563
cat_Aag2mIgG.bed	-	1:90500054_90500072	1	20	1	0.05
cat_Aag2mIgG.bed	-	2:304349005_304349017	1	21	1	0.0476190476190476
cat_Aag2mIgG.bed	-	3:80442530_80442545	1	21	1	0.0476190476190476
cat_Aag2rIgG.bed	+	1:189811704_189811735	8	183	8	183
cat_Aag2rIgG.bed	+	1:195168085_195168140	25	727	25	727
cat_Aag2rIgG.bed	+	1:205706023_205706069	100	3305	100	3305
cat_Aag2rIgG.bed	+	1:205706540_205706570	88	4078	88	4078
cat_Aag2rIgG.bed	+	1:205706716_205706757	170	5918	170	5918
cat_Aag2rIgG.bed	+	1:205706917_205706974	418	16823	418	16823
cat_Aag2rIgG.bed	+	1:205706978_205707053	1409	50210	1409	50210
cat_Aag2rIgG.bed	+	1:205707720_205707758	320	11234	320	11234
cat_Aag2rIgG.bed	+	1:205712778_205712833	4219	154402	4219	154402
cat_Aag2rIgG.bed	+	1:205719541_205719561	20	1457	20	1457
cat_Aag2rIgG.bed	+	1:223495945_223495974	12	280	12	280
cat_Aag2rIgG.bed	+	1:223496018_223496059	90	2699	90	2699
cat_Aag2rIgG.bed	+	1:235479166_235479208	2	42	2	42
cat_Aag2rIgG.bed	+	1:235480769_235480795	1	21	1	21
cat_Aag2rIgG.bed	+	1:235489477_235489495	1	22	1	22
cat_Aag2rIgG.bed	+	1:235489927_235489940	1	22	1	22
cat_Aag2rIgG.bed	+	1:237409798_237409816	8	271	8	271
cat_Aag2rIgG.bed	+	1:281036113_281036155	52	1482	52	1482
cat_Aag2rIgG.bed	+	1:281036208_281036226	8	318	8	318
cat_Aag2rIgG.bed	+	1:80230059_80230112	181	7005	181	7005
cat_Aag2rIgG.bed	+	1:80230244_80230282	233	8529	233	8529
cat_Aag2rIgG.bed	+	1:80230427_80230454	344	14720	344	14720
cat_Aag2rIgG.bed	+	1:80230458_80230533	1406	50626	1406	50626
cat_Aag2rIgG.bed	+	1:80231196_80231237	325	11733	325	11733
cat_Aag2rIgG.bed	+	1:80231330_80231364	59	2788	59	2788
cat_Aag2rIgG.bed	+	2:157364024_157364050	31	1896	31	1896
cat_Aag2rIgG.bed	+	2:185998780_185998807	29	663	29	663
cat_Aag2rIgG.bed	+	2:185998945_185998974	17	357	17	357
cat_Aag2rIgG.bed	+	2:185999026_185999050	1	25	1	25
cat_Aag2rIgG.bed	+	2:185999165_185999189	7	167	7	167
cat_Aag2rIgG.bed	+	2:393568876_393568887	1	25	1	25
cat_Aag2rIgG.bed	+	2:413904951_413905003	188	6527	188	6527
cat_Aag2rIgG.bed	+	2:413905214_413905231	9	354	9	354
cat_Aag2rIgG.bed	+	2:413905497_413905558	39	1502	39	1502
cat_Aag2rIgG.bed	+	2:413905669_413905708	52	2063	52	2063
cat_Aag2rIgG.bed	+	2:5133474_5133570	38	1377	38	1377
cat_Aag2rIgG.bed	+	2:53257043_53257063	2	53	2	53
cat_Aag2rIgG.bed	+	2:53260642_53260662	5	153	5	153
cat_Aag2rIgG.bed	+	3:10755742_10755770	1	21	1	21
cat_Aag2rIgG.bed	+	3:133533705_133533717	2	98	2	98
cat_Aag2rIgG.bed	+	3:164837882_164837896	2	43	2	43
cat_Aag2rIgG.bed	+	3:231454012_231454040	207	7533	207	7533
cat_Aag2rIgG.bed	+	3:231454043_231454072	215	7625	215	7625
cat_Aag2rIgG.bed	+	3:231454112_231454148	128	4859	128	4859
cat_Aag2rIgG.bed	+	3:370896512_370896585	163	5261	163	5261
cat_Aag2rIgG.bed	+	3:375276157_375276187	43	1415	43	1415
cat_Aag2rIgG.bed	+	3:375276343_375276363	30	744	30	744
cat_Aag2rIgG.bed	+	NIGP01000045:7221_7249	2	48	2	48
cat_Aag2rIgG.bed	+	NIGP01001771:10871_10932	4257	154555	4257	154555
cat_Aag2rIgG.bed	+	NIGP01001771:13082_13117	81	3569	81	3569
cat_Aag2rIgG.bed	+	NIGP01001771:13540_13599	345	12370	345	12370
cat_Aag2rIgG.bed	+	NIGP01001771:13652_13680	316	13256	316	13256
cat_Aag2rIgG.bed	+	NIGP01001771:13683_13760	1351	47743	1351	47743
cat_Aag2rIgG.bed	+	NIGP01001771:13766_13791	83	3358	83	3358
cat_Aag2rIgG.bed	+	NIGP01001771:13806_13841	39	1749	39	1749
cat_Aag2rIgG.bed	+	NIGP01001771:4938_4971	233	8016	233	8016
cat_Aag2rIgG.bed	+	NIGP01001771:5082_5152	1423	50588	1423	50588
cat_Aag2rIgG.bed	+	NIGP01001771:5207_5240	40	1799	40	1799
cat_Aag2rIgG.bed	+	NIGP01001771:5537_5563	64	1928	64	1928
cat_Aag2rIgG.bed	+	NIGP01001771:5591_5666	451	16215	451	16215
cat_Aag2rIgG.bed	+	NIGP01001771:5685_5705	56	2031	56	2031
cat_Aag2rIgG.bed	+	NIGP01001771:5777_5820	262	8867	262	8867
cat_Aag2rIgG.bed	+	NIGP01001771:5824_5861	324	11831	324	11831
cat_Aag2rIgG.bed	+	NIGP01001771:5916_5928	27	1228	27	1228
cat_Aag2rIgG.bed	+	NIGP01001771:5954_5988	65	3088	65	3088
cat_Aag2rIgG.bed	+	NIGP01001970:3765_3830	1765	66862	1765	66862
cat_Aag2rIgG.bed	+	NIGP01001970:7600_7635	174	5895	174	5895
cat_Aag2rIgG.bed	+	NIGP01001970:7714_7745	272	9019	272	9019
cat_Aag2rIgG.bed	+	NIGP01001970:7795_7844	228	9401	228	9401
cat_Aag2rIgG.bed	+	NIGP01001970:8731_8766	71	3073	71	3073
cat_Aag2rIgG.bed	+	NIGP01001970:8976_9003	27	933	27	933
cat_Aag2rIgG.bed	+	NIGP01002135:1033_1046	9	276	9	276
cat_Aag2rIgG.bed	+	2:256000416_256000438	3	63	3	63
cat_Aag2rIgG.bed	-	1:116128507_116128523	1	24	1	0.0416666666666667
cat_Aag2rIgG.bed	-	1:140314397_140314417	1	35	1	0.0285714285714286
cat_Aag2rIgG.bed	-	1:162386775_162386866	238	7699	0.00420168067226891	0.000129886998311469
cat_Aag2rIgG.bed	-	1:162386923_162386950	143	4688	0.00699300699300699	0.000213310580204778
cat_Aag2rIgG.bed	-	1:162394252_162394288	31	1156	0.032258064516129	0.000865051903114187
cat_Aag2rIgG.bed	-	1:162394685_162394725	144	4453	0.00694444444444444	0.00022456770716371
cat_Aag2rIgG.bed	-	1:162395315_162395329	33	1214	0.0303030303030303	0.000823723228995058
cat_Aag2rIgG.bed	-	1:162395331_162395421	537	16687	0.00186219739292365	5.99268891951819e-05
cat_Aag2rIgG.bed	-	1:162395438_162395488	91	2881	0.010989010989011	0.000347101700798334
cat_Aag2rIgG.bed	-	1:162395539_162395567	131	4173	0.00763358778625954	0.000239635753654445
cat_Aag2rIgG.bed	-	1:162395648_162395681	65	2254	0.0153846153846154	0.000443655723158829
cat_Aag2rIgG.bed	-	1:205566354_205566390	16	717	0.0625	0.00139470013947001
cat_Aag2rIgG.bed	-	1:205566928_205567002	514	16399	0.00194552529182879	6.09793280078054e-05
cat_Aag2rIgG.bed	-	1:205567017_205567035	30	1239	0.0333333333333333	0.000807102502017756
cat_Aag2rIgG.bed	-	1:205567118_205567146	160	5381	0.00625	0.000185839063371121
cat_Aag2rIgG.bed	-	1:205567527_205567600	108	3753	0.00925925925925926	0.000266453503863576
cat_Aag2rIgG.bed	-	1:205575244_205575303	2163	72094	0.000462320850670365	1.38707798152412e-05
cat_Aag2rIgG.bed	-	1:205580039_205580057	4	167	0.25	0.00598802395209581
cat_Aag2rIgG.bed	-	1:205580161_205580180	29	1159	0.0344827586206897	0.000862812769628991
cat_Aag2rIgG.bed	-	1:205581019_205581088	511	16067	0.00195694716242661	6.22393726271239e-05
cat_Aag2rIgG.bed	-	1:205581131_205581158	73	2228	0.0136986301369863	0.000448833034111311
cat_Aag2rIgG.bed	-	1:205581317_205581351	70	2253	0.0142857142857143	0.000443852640923213
cat_Aag2rIgG.bed	-	1:205581556_205581590	60	1898	0.0166666666666667	0.000526870389884088
cat_Aag2rIgG.bed	-	1:205581655_205581691	38	1603	0.0263157894736842	0.000623830318153462
cat_Aag2rIgG.bed	-	1:205588739_205588757	56	2007	0.0178571428571429	0.00049825610363727
cat_Aag2rIgG.bed	-	1:205588901_205588937	120	3791	0.00833333333333333	0.000263782643102084
cat_Aag2rIgG.bed	-	1:205589798_205589825	140	4630	0.00714285714285714	0.000215982721382289
cat_Aag2rIgG.bed	-	1:205600861_205600871	56	1976	0.0178571428571429	0.000506072874493927
cat_Aag2rIgG.bed	-	1:205604237_205604276	121	4006	0.00826446280991736	0.000249625561657514
cat_Aag2rIgG.bed	-	1:205604375_205604417	47	1785	0.0212765957446809	0.000560224089635854
cat_Aag2rIgG.bed	-	1:205604861_205604892	23	981	0.0434782608695652	0.00101936799184506
cat_Aag2rIgG.bed	-	1:205604945_205605018	493	15578	0.00202839756592292	6.41930928232122e-05
cat_Aag2rIgG.bed	-	1:205605024_205605051	80	3292	0.0125	0.000303766707168894
cat_Aag2rIgG.bed	-	1:205605171_205605193	103	4057	0.00970873786407767	0.000246487552378605
cat_Aag2rIgG.bed	-	1:205605364_205605401	63	2312	0.0158730158730159	0.000432525951557093
cat_Aag2rIgG.bed	-	1:205607758_205607817	2253	75891	0.000443852640923213	1.31767930321118e-05
cat_Aag2rIgG.bed	-	1:205612701_205612734	29	1319	0.0344827586206897	0.000758150113722517
cat_Aag2rIgG.bed	-	1:205613533_205613603	501	15652	0.00199600798403194	6.38895987733197e-05
cat_Aag2rIgG.bed	-	1:205613721_205613750	153	5057	0.0065359477124183	0.000197745699031046
cat_Aag2rIgG.bed	-	1:205628039_205628071	26	1199	0.0384615384615385	0.000834028356964137
cat_Aag2rIgG.bed	-	1:205628162_205628198	134	4486	0.00746268656716418	0.000222915737851092
cat_Aag2rIgG.bed	-	1:205628359_205628377	47	2180	0.0212765957446809	0.000458715596330275
cat_Aag2rIgG.bed	-	1:205628392_205628434	132	4883	0.00757575757575758	0.000204792135981978
cat_Aag2rIgG.bed	-	1:205628947_205628973	79	3120	0.0126582278481013	0.000320512820512821
cat_Aag2rIgG.bed	-	1:205629055_205629087	142	4857	0.00704225352112676	0.000205888408482602
cat_Aag2rIgG.bed	-	1:205629167_205629202	67	2108	0.0149253731343284	0.00047438330170778
cat_Aag2rIgG.bed	-	1:205631682_205631738	2227	74180	0.000449034575662326	1.34807225667296e-05
cat_Aag2rIgG.bed	-	1:205636748_205636785	118	3991	0.00847457627118644	0.000250563768479078
cat_Aag2rIgG.bed	-	1:205636945_205636960	53	2254	0.0188679245283019	0.000443655723158829
cat_Aag2rIgG.bed	-	1:205637047_205637074	25	585	0.04	0.00170940170940171
cat_Aag2rIgG.bed	-	1:205637751_205637796	59	2000	0.0169491525423729	5e-04
cat_Aag2rIgG.bed	-	1:205646041_205646113	506	15721	0.00197628458498024	6.3609185166338e-05
cat_Aag2rIgG.bed	-	1:205646119_205646141	68	2495	0.0147058823529412	0.000400801603206413
cat_Aag2rIgG.bed	-	1:205648855_205648910	2100	69879	0.000476190476190476	1.43104509223086e-05
cat_Aag2rIgG.bed	-	1:205653919_205653956	127	3961	0.0078740157480315	0.000252461499621308
cat_Aag2rIgG.bed	-	1:205654151_205654192	143	5067	0.00699300699300699	0.000197355437142293
cat_Aag2rIgG.bed	-	1:205654554_205654574	19	806	0.0526315789473684	0.00124069478908189
cat_Aag2rIgG.bed	-	1:205654648_205654699	341	11660	0.00293255131964809	8.57632933104631e-05
cat_Aag2rIgG.bed	-	1:205654786_205654836	45	1543	0.0222222222222222	0.000648088139987038
cat_Aag2rIgG.bed	-	1:205657495_205657528	220	7608	0.00454545454545455	0.000131440588853838
cat_Aag2rIgG.bed	-	1:205660556_205660595	136	4501	0.00735294117647059	0.000222172850477672
cat_Aag2rIgG.bed	-	1:205660858_205660886	53	1508	0.0188679245283019	0.000663129973474801
cat_Aag2rIgG.bed	-	1:205661266_205661341	556	17081	0.00179856115107914	5.85445816989638e-05
cat_Aag2rIgG.bed	-	1:205661453_205661486	151	5044	0.00662251655629139	0.000198255352894528
cat_Aag2rIgG.bed	-	1:205661745_205661771	25	1014	0.04	0.000986193293885602
cat_Aag2rIgG.bed	-	1:205669180_205669214	136	4277	0.00735294117647059	0.000233808744447042
cat_Aag2rIgG.bed	-	1:205669329_205669350	30	1205	0.0333333333333333	0.000829875518672199
cat_Aag2rIgG.bed	-	1:205669376_205669399	65	2858	0.0153846153846154	0.000349895031490553
cat_Aag2rIgG.bed	-	1:205669918_205669957	276	9911	0.0036231884057971	0.000100897992129957
cat_Aag2rIgG.bed	-	1:205669997_205670025	76	2263	0.0131578947368421	0.000441891294741494
cat_Aag2rIgG.bed	-	1:205670076_205670102	126	4151	0.00793650793650794	0.000240905805829921
cat_Aag2rIgG.bed	-	1:205670184_205670217	75	2672	0.0133333333333333	0.000374251497005988
cat_Aag2rIgG.bed	-	1:205670741_205670768	120	4017	0.00833333333333333	0.000248941996514812
cat_Aag2rIgG.bed	-	1:205677792_205677822	108	3654	0.00925925925925926	0.000273672687465791
cat_Aag2rIgG.bed	-	1:205678425_205678445	18	757	0.0555555555555556	0.00132100396301189
cat_Aag2rIgG.bed	-	1:205678722_205678747	113	4104	0.00884955752212389	0.000243664717348928
cat_Aag2rIgG.bed	-	1:205684413_205684444	25	828	0.04	0.00120772946859903
cat_Aag2rIgG.bed	-	1:205686689_205686718	49	1399	0.0204081632653061	0.000714796283059328
cat_Aag2rIgG.bed	-	1:205687012_205687045	15	579	0.0666666666666667	0.00172711571675302
cat_Aag2rIgG.bed	-	1:205687066_205687091	31	1108	0.032258064516129	0.000902527075812274
cat_Aag2rIgG.bed	-	1:205687286_205687316	152	4848	0.00657894736842105	0.000206270627062706
cat_Aag2rIgG.bed	-	1:205687321_205687346	108	3844	0.00925925925925926	0.000260145681581686
cat_Aag2rIgG.bed	-	1:205689936_205689958	2184	72422	0.000457875457875458	1.38079589075143e-05
cat_Aag2rIgG.bed	-	1:205694992_205695032	137	4478	0.0072992700729927	0.000223313979455114
cat_Aag2rIgG.bed	-	1:205695890_205695921	127	4129	0.0078740157480315	0.000242189392104626
cat_Aag2rIgG.bed	-	1:205696300_205696330	81	2842	0.0123456790123457	0.000351864883884588
cat_Aag2rIgG.bed	-	1:205724879_205724933	36	1297	0.0277777777777778	0.000771010023130301
cat_Aag2rIgG.bed	-	1:205725934_205726014	551	16758	0.00181488203266788	5.96729920038191e-05
cat_Aag2rIgG.bed	-	1:205726018_205726050	78	3269	0.0128205128205128	0.000305903946160905
cat_Aag2rIgG.bed	-	1:205726160_205726186	123	4377	0.00813008130081301	0.000228466986520448
cat_Aag2rIgG.bed	-	1:205737036_205737072	107	3423	0.00934579439252336	0.000292141396435875
cat_Aag2rIgG.bed	-	1:205737331_205737361	45	1155	0.0222222222222222	0.000865800865800866
cat_Aag2rIgG.bed	-	1:205737834_205737883	94	3090	0.0106382978723404	0.000323624595469256
cat_Aag2rIgG.bed	-	1:205737928_205737959	122	4023	0.00819672131147541	0.000248570718369376
cat_Aag2rIgG.bed	-	1:205740593_205740647	2216	72723	0.000451263537906137	1.37508078599618e-05
cat_Aag2rIgG.bed	-	1:206221057_206221085	6	177	0.166666666666667	0.00564971751412429
cat_Aag2rIgG.bed	-	1:235480293_235480327	3	64	0.333333333333333	0.015625
cat_Aag2rIgG.bed	-	1:235480617_235480637	2	43	0.5	0.0232558139534884
cat_Aag2rIgG.bed	-	1:235481594_235481613	1	21	1	0.0476190476190476
cat_Aag2rIgG.bed	-	1:235481902_235481922	1	18	1	0.0555555555555556
cat_Aag2rIgG.bed	-	1:235482027_235482043	1	20	1	0.05
cat_Aag2rIgG.bed	-	1:235491098_235491130	2	42	0.5	0.0238095238095238
cat_Aag2rIgG.bed	-	1:235492444_235492455	1	21	1	0.0476190476190476
cat_Aag2rIgG.bed	-	2:133623228_133623257	2	48	0.5	0.0208333333333333
cat_Aag2rIgG.bed	-	2:204043396_204043429	1	18	1	0.0555555555555556
cat_Aag2rIgG.bed	-	2:256000570_256000596	1	23	1	0.0434782608695652
cat_Aag2rIgG.bed	-	2:282285959_282285977	1	30	1	0.0333333333333333
cat_Aag2rIgG.bed	-	2:301274067_301274080	1	20	1	0.05
cat_Aag2rIgG.bed	-	2:348318480_348318501	1	18	1	0.0555555555555556
cat_Aag2rIgG.bed	-	2:393567365_393567389	1	22	1	0.0454545454545455
cat_Aag2rIgG.bed	-	2:453152344_453152388	4	113	0.25	0.00884955752212389
cat_Aag2rIgG.bed	-	3:10763785_10763811	1	21	1	0.0476190476190476
cat_Aag2rIgG.bed	-	3:162129618_162129629	5	137	0.2	0.0072992700729927
cat_Aag2rIgG.bed	-	3:162131696_162131711	8	229	0.125	0.00436681222707424
cat_Aag2rIgG.bed	-	3:215746352_215746378	4	84	0.25	0.0119047619047619
cat_Aag2rIgG.bed	-	3:224808414_224808430	3	63	0.333333333333333	0.0158730158730159
cat_Aag2rIgG.bed	-	3:235665632_235665654	1	22	1	0.0454545454545455
cat_Aag2rIgG.bed	-	3:235667014_235667038	1	22	1	0.0454545454545455
cat_Aag2rIgG.bed	-	3:235671269_235671294	2	48	0.5	0.0208333333333333
cat_Aag2rIgG.bed	-	3:26367556_26367602	57	1832	0.0175438596491228	0.000545851528384279
cat_Aag2rIgG.bed	-	3:336521264_336521338	42	1319	0.0238095238095238	0.000758150113722517
cat_Aag2rIgG.bed	-	NIGP01001581:29102_29133	11	395	0.0909090909090909	0.00253164556962025
cat_Aag2rIgG.bed	-	3:80442530_80442545	1	21	1	0.0476190476190476
cat_aegyptiAgo1.bed	+	1:189811704_189811735	78	1772	78	1772
cat_aegyptiAgo1.bed	+	1:195168085_195168140	1	41	1	41
cat_aegyptiAgo1.bed	+	1:205706023_205706069	529	22129	529	22129
cat_aegyptiAgo1.bed	+	1:205706540_205706570	1087	59408	1087	59408
cat_aegyptiAgo1.bed	+	1:205706716_205706757	3362	148153	3362	148153
cat_aegyptiAgo1.bed	+	1:205706917_205706974	2006	106520	2006	106520
cat_aegyptiAgo1.bed	+	1:205706978_205707053	9483	390595	9483	390595
cat_aegyptiAgo1.bed	+	1:205707269_205707332	2789	148423	2789	148423
cat_aegyptiAgo1.bed	+	1:205707720_205707758	4214	211398	4214	211398
cat_aegyptiAgo1.bed	+	1:205707906_205707957	1679	72384	1679	72384
cat_aegyptiAgo1.bed	+	1:205712778_205712833	24570	1084933	24570	1084933
cat_aegyptiAgo1.bed	+	1:205719541_205719561	23	1430	23	1430
cat_aegyptiAgo1.bed	+	1:223495945_223495974	87	2594	87	2594
cat_aegyptiAgo1.bed	+	1:223496018_223496059	373	11503	373	11503
cat_aegyptiAgo1.bed	+	1:223496234_223496259	266	12213	266	12213
cat_aegyptiAgo1.bed	+	1:235479472_235479510	1	22	1	22
cat_aegyptiAgo1.bed	+	1:235489477_235489495	1	22	1	22
cat_aegyptiAgo1.bed	+	1:281036208_281036226	4	296	4	296
cat_aegyptiAgo1.bed	+	1:80227624_80227672	24988	1099956	24988	1099956
cat_aegyptiAgo1.bed	+	1:80230059_80230112	4470	229378	4470	229378
cat_aegyptiAgo1.bed	+	1:80230244_80230282	3992	178612	3992	178612
cat_aegyptiAgo1.bed	+	1:80230312_80230341	1639	66802	1639	66802
cat_aegyptiAgo1.bed	+	1:80230427_80230454	1315	65018	1315	65018
cat_aegyptiAgo1.bed	+	1:80230458_80230533	9429	386500	9429	386500
cat_aegyptiAgo1.bed	+	1:80231066_80231107	1477	98321	1477	98321
cat_aegyptiAgo1.bed	+	1:80231196_80231237	4266	214978	4266	214978
cat_aegyptiAgo1.bed	+	1:80231330_80231364	746	40750	746	40750
