chr	origin	feature	start	end	score1	strand	score2	ID	cluster	family
2	lab_RNAi	EVE	461350794	461352270	.	+	.	2_461350794_461352270	chr_38_cluster	Flaviviridae
2	lab_RNAi	EVE	469170289	469170687	.	-	.	2_469170289_469170687	chr_39_cluster	Unclassified
2	lab_RNAi	EVE	469178067	469178945	.	-	.	2_469178067_469178945	chr_39_cluster	Unclassified
2	lab_RNAi	EVE	469209297	469210673	.	-	.	2_469209297_469210673	chr_39_cluster	Unclassified
2	lab_RNAi	EVE	469212460	469213200	.	-	.	2_469212460_469213200	chr_39_cluster	Unclassified
2	lab_RNAi	EVE	469219860	469220492	.	-	.	2_469219860_469220492	chr_39_cluster	Rhabdoviridae
2	lab_RNAi	EVE	469224633	469226110	.	-	.	2_469224633_469226110	chr_39_cluster	Flaviviridae
2	lab_RNAi	EVE	469282218	469282376	.	-	.	2_469282218_469282376	chr_40_single	Flaviviridae
3	lab_RNAi	EVE	72094790	72095838	.	+	.	3_72094790_72095838	chr_41_single	Rhabdoviridae
3	lab_RNAi	EVE	72177444	72178492	.	-	.	3_72177444_72178492	chr_42_single	Rhabdoviridae
3	lab_RNAi	EVE	80451166	80452173	.	-	.	3_80451166_80452173	chr_43_single	Unclassified
3	lab_RNAi	EVE	98643018	98643422	.	+	.	3_98643018_98643422	chr_44_cluster	Unclassified
3	lab_RNAi	EVE	98643673	98644775	.	+	.	3_98643673_98644775	chr_44_cluster	Unclassified
3	lab_RNAi	EVE	99453281	99453890	.	+	.	3_99453281_99453890	chr_45_single	Rhabdoviridae
3	lab_RNAi	EVE	105844919	105845320	.	-	.	3_105844919_105845320	chr_46_single	Phenuiviridae
3	lab_RNAi	EVE	105989442	105990261	.	+	.	3_105989442_105990261	chr_47_single	Unclassified
3	lab_RNAi	EVE	106025315	106026202	.	+	.	3_106025315_106026202	chr_48_cluster	Rhabdoviridae
3	lab_RNAi	EVE	106037066	106037332	.	+	.	3_106037066_106037332	chr_48_cluster	Unclassified
3	lab_RNAi	EVE	106078902	106080066	.	+	.	3_106078902_106080066	chr_48_cluster	Rhabdoviridae
3	lab_RNAi	EVE	106082161	106082443	.	+	.	3_106082161_106082443	chr_48_cluster	Rhabdoviridae
3	lab_RNAi	EVE	134021395	134021690	.	-	.	3_134021395_134021690	chr_49_single	Unclassified
3	lab_RNAi	EVE	148368597	148369395	.	-	.	3_148368597_148369395	chr_50_single	Phenuiviridae
3	lab_RNAi	EVE	150632089	150633160	.	+	.	3_150632089_150633160	chr_51_single	Unclassified
3	lab_RNAi	EVE	191321141	191321600	.	-	.	3_191321141_191321600	chr_52_cluster	Flaviviridae
3	lab_RNAi	EVE	191321994	191324679	.	-	.	3_191321994_191324679	chr_52_cluster	Flaviviridae
3	lab_RNAi	EVE	191331696	191332155	.	-	.	3_191331696_191332155	chr_52_cluster	Flaviviridae
3	lab_RNAi	EVE	191332549	191335234	.	-	.	3_191332549_191335234	chr_52_cluster	Flaviviridae
3	lab_RNAi	EVE	233905299	233905843	.	-	.	3_233905299_233905843	chr_53_cluster	Rhabdoviridae
3	lab_RNAi	EVE	233907152	233907493	.	-	.	3_233907152_233907493	chr_53_cluster	Rhabdoviridae
3	lab_RNAi	EVE	261711503	261711952	.	+	.	3_261711503_261711952	chr_54_single	Rhabdoviridae
3	lab_RNAi	EVE	313450511	313450855	.	+	.	3_313450511_313450855	chr_55_cluster	Unclassified
3	lab_RNAi	EVE	313451059	313451916	.	+	.	3_313451059_313451916	chr_55_cluster	Rhabdoviridae
3	lab_RNAi	EVE	313468413	313470787	.	+	.	3_313468413_313470787	chr_55_cluster	Flaviviridae
3	lab_RNAi	EVE	313471174	313473186	.	+	.	3_313471174_313473186	chr_55_cluster	Flaviviridae
3	lab_RNAi	EVE	313482417	313485549	.	+	.	3_313482417_313485549	chr_55_cluster	Unclassified
3	lab_RNAi	EVE	313488230	313488735	.	+	.	3_313488230_313488735	chr_55_cluster	Unclassified
3	lab_RNAi	EVE	314107925	314109350	.	-	.	3_314107925_314109350	chr_56_single	Unclassified
3	lab_RNAi	EVE	314161025	314161602	.	-	.	3_314161025_314161602	chr_57_single 	Unclassified
3	lab_RNAi	EVE	314185459	314186109	.	-	.	3_314185459_314186109	chr_58_single 	Unclassified
3	lab_RNAi	EVE	314212417	314213197	.	-	.	3_314212417_314213197	chr_59_single 	Unclassified
