sample	width	strand	count	nrow	percent
sRNAseq_CLY_a.bed	24	+	1503	587397	0.00255874646959382
sRNAseq_CLY_a.bed	24	-	1916	587397	-0.00326184846024069
sRNAseq_CLY_B.bed	16	+	21	427993	4.9066223045704e-05
sRNAseq_CLY_B.bed	16	-	11	427993	-2.57013549287021e-05
sRNAseq_CLY_B.bed	17	+	21	427993	4.9066223045704e-05
sRNAseq_CLY_B.bed	17	-	29	427993	-6.77581175393055e-05
sRNAseq_CLY_B.bed	18	+	909	427993	0.00212386651183547
sRNAseq_CLY_B.bed	18	-	1282	427993	-0.00299537609259965
sRNAseq_CLY_B.bed	19	+	2753	427993	0.00643234819261063
sRNAseq_CLY_B.bed	19	-	7651	427993	-0.0178764605963182
sRNAseq_CLY_B.bed	20	+	16644	427993	0.038888486493938
sRNAseq_CLY_B.bed	20	-	19742	427993	-0.0461269226365852
sRNAseq_CLY_B.bed	21	+	164240	427993	0.383744593953639
sRNAseq_CLY_B.bed	21	-	181034	427993	-0.422983553469332
sRNAseq_CLY_B.bed	22	+	9382	427993	0.0219209192673712
sRNAseq_CLY_B.bed	22	-	15636	427993	-0.0365333077877442
sRNAseq_CLY_B.bed	23	+	2584	427993	0.00603748192143329
sRNAseq_CLY_B.bed	23	-	3332	427993	-0.00778517405658504
sRNAseq_CLY_B.bed	24	+	1484	427993	0.00346734642856308
sRNAseq_CLY_B.bed	24	-	1238	427993	-0.00289257067288484
sRNAseq_PCLV_L.bed	16	+	99	197775	0.000500568828213879
sRNAseq_PCLV_L.bed	16	-	119	197775	-0.000601693844014663
sRNAseq_PCLV_L.bed	17	+	135	197775	0.00068259385665529
sRNAseq_PCLV_L.bed	17	-	52	197775	-0.000262925041082038
sRNAseq_PCLV_L.bed	18	+	3283	197775	0.0165996713436986
sRNAseq_PCLV_L.bed	18	-	1111	197775	-0.00561749462773354
sRNAseq_PCLV_L.bed	19	+	5573	197775	0.0281784856528884
sRNAseq_PCLV_L.bed	19	-	1950	197775	-0.00985968904057641
sRNAseq_PCLV_L.bed	20	+	8794	197775	0.0444646694476046
sRNAseq_PCLV_L.bed	20	-	3096	197775	-0.0156541524459613
sRNAseq_PCLV_L.bed	21	+	65154	197775	0.329434963974213
sRNAseq_PCLV_L.bed	21	-	42988	197775	-0.217358108962205
sRNAseq_PCLV_L.bed	22	+	10691	197775	0.0540563771963089
sRNAseq_PCLV_L.bed	22	-	4684	197775	-0.0236834787005435
sRNAseq_PCLV_L.bed	23	+	11604	197775	0.0586727341676147
sRNAseq_PCLV_L.bed	23	-	6341	197775	-0.0320616862596385
sRNAseq_PCLV_L.bed	24	+	19100	197775	0.0965743900897485
sRNAseq_PCLV_L.bed	24	-	13001	197775	-0.0657363165212995
sRNAseq_PCLV_M.bed	16	+	17	122689	0.000138561729250381
sRNAseq_PCLV_M.bed	16	-	35	122689	-0.000285274148456667
sRNAseq_PCLV_M.bed	17	+	23	122689	0.00018746586898581
sRNAseq_PCLV_M.bed	17	-	19	122689	-0.000154863109162191
sRNAseq_PCLV_M.bed	18	+	3291	122689	0.0268239206448826
sRNAseq_PCLV_M.bed	18	-	1232	122689	-0.0100416500256747
sRNAseq_PCLV_M.bed	19	+	2684	122689	0.0218764518416484
sRNAseq_PCLV_M.bed	19	-	2009	122689	-0.0163747361214127
sRNAseq_PCLV_M.bed	20	+	4018	122689	0.0327494722428254
sRNAseq_PCLV_M.bed	20	-	3744	122689	-0.0305161831949075
sRNAseq_PCLV_M.bed	21	+	22620	122689	0.184368606802566
sRNAseq_PCLV_M.bed	21	-	34426	122689	-0.280595652421978
sRNAseq_PCLV_M.bed	22	+	6781	122689	0.0552698285909902
sRNAseq_PCLV_M.bed	22	-	4673	122689	-0.038088174163943
sRNAseq_PCLV_M.bed	23	+	11534	122689	0.0940100579514056
sRNAseq_PCLV_M.bed	23	-	3840	122689	-0.0312986494306743
sRNAseq_PCLV_M.bed	24	+	15596	122689	0.127118160552291
sRNAseq_PCLV_M.bed	24	-	6147	122689	-0.0501022911589466
sRNAseq_PCLV_S.bed	16	+	17	141779	0.000119904922449728
sRNAseq_PCLV_S.bed	16	-	65	141779	-0.000458459997601902
sRNAseq_PCLV_S.bed	17	+	29	141779	0.000204543691237771
sRNAseq_PCLV_S.bed	17	-	53	141779	-0.000373821228813858
sRNAseq_PCLV_S.bed	18	+	2995	141779	0.0211244260433492
sRNAseq_PCLV_S.bed	18	-	1478	141779	-0.010424675022394
sRNAseq_PCLV_S.bed	19	+	3300	141779	0.0232756614167119
sRNAseq_PCLV_S.bed	19	-	2213	141779	-0.0156087996106617
sRNAseq_PCLV_S.bed	20	+	4759	141779	0.0335663250551915
sRNAseq_PCLV_S.bed	20	-	3361	141779	-0.0237059084913845
sRNAseq_PCLV_S.bed	21	+	42154	141779	0.297321888290932
sRNAseq_PCLV_S.bed	21	-	35900	141779	-0.253210983290896
sRNAseq_PCLV_S.bed	22	+	7152	141779	0.0504447061976738
sRNAseq_PCLV_S.bed	22	-	5104	141779	-0.0359996896578478
sRNAseq_PCLV_S.bed	23	+	7146	141779	0.0504023868132798
sRNAseq_PCLV_S.bed	23	-	4459	141779	-0.0314503558354904
sRNAseq_PCLV_S.bed	24	+	13492	141779	0.0951621890406901
sRNAseq_PCLV_S.bed	24	-	8102	141779	-0.0571452753933939
Aag2Ago1_CFAV.bed	18	+	134	2541	0.0527351436442346
Aag2Ago1_CFAV.bed	18	-	14	2541	-0.00550964187327824
Aag2Ago1_CFAV.bed	19	+	129	2541	0.050767414403778
Aag2Ago1_CFAV.bed	19	-	19	2541	-0.00747737111373475
Aag2Ago1_CFAV.bed	20	+	225	2541	0.0885478158205431
Aag2Ago1_CFAV.bed	20	-	62	2541	-0.0243998425816608
Aag2Ago1_CFAV.bed	21	+	582	2541	0.229043683589138
Aag2Ago1_CFAV.bed	21	-	216	2541	-0.0850059031877214
Aag2Ago1_CFAV.bed	22	+	431	2541	0.169618260527351
Aag2Ago1_CFAV.bed	22	-	203	2541	-0.0798898071625344
Aag2Ago1_CFAV.bed	23	+	299	2541	0.117670208579299
Aag2Ago1_CFAV.bed	23	-	35	2541	-0.0137741046831956
Aag2Ago1_CFAV.bed	24	+	139	2541	0.0547028728846911
Aag2Ago1_CFAV.bed	24	-	53	2541	-0.020857929948839
Aag2Ago1_CLYA.bed	18	+	408	50125	0.00813965087281796
Aag2Ago1_CLYA.bed	18	-	430	50125	-0.0085785536159601
Aag2Ago1_CLYA.bed	19	+	771	50125	0.0153815461346633
Aag2Ago1_CLYA.bed	19	-	771	50125	-0.0153815461346633
Aag2Ago1_CLYA.bed	20	+	2678	50125	0.053426433915212
Aag2Ago1_CLYA.bed	20	-	2887	50125	-0.0575960099750623
Aag2Ago1_CLYA.bed	21	+	14168	50125	0.282653366583541
Aag2Ago1_CLYA.bed	21	-	17319	50125	-0.345516209476309
Aag2Ago1_CLYA.bed	22	+	4209	50125	0.0839700748129676
Aag2Ago1_CLYA.bed	22	-	4191	50125	-0.0836109725685786
Aag2Ago1_CLYA.bed	23	+	1001	50125	0.0199700748129676
Aag2Ago1_CLYA.bed	23	-	925	50125	-0.0184538653366584
Aag2Ago1_CLYA.bed	24	+	220	50125	0.00438902743142145
Aag2Ago1_CLYA.bed	24	-	147	50125	-0.00293266832917706
Aag2Ago1_CLYB.bed	18	+	1189	51512	0.0230820003106072
Aag2Ago1_CLYB.bed	18	-	451	51512	-0.00875524149712688
Aag2Ago1_CLYB.bed	19	+	1646	51512	0.0319537195216649
Aag2Ago1_CLYB.bed	19	-	769	51512	-0.0149285603354558
Aag2Ago1_CLYB.bed	20	+	3314	51512	0.0643345239944091
Aag2Ago1_CLYB.bed	20	-	2312	51512	-0.0448827457679764
Aag2Ago1_CLYB.bed	21	+	14817	51512	0.287641714551949
Aag2Ago1_CLYB.bed	21	-	13164	51512	-0.255552104364032
Aag2Ago1_CLYB.bed	22	+	5769	51512	0.111993321944401
Aag2Ago1_CLYB.bed	22	-	4269	51512	-0.0828738934617177
Aag2Ago1_CLYB.bed	23	+	1380	51512	0.026789874204069
Aag2Ago1_CLYB.bed	23	-	1071	51512	-0.0207912719366361
Aag2Ago1_CLYB.bed	24	+	1180	51512	0.0229072837397111
Aag2Ago1_CLYB.bed	24	-	181	51512	-0.00351374437024383
Aag2Ago1_PCLV_L.bed	18	+	233	3836	0.060740354535975
Aag2Ago1_PCLV_L.bed	18	-	38	3836	-0.00990615224191867
Aag2Ago1_PCLV_L.bed	19	+	254	3836	0.0662148070907195
Aag2Ago1_PCLV_L.bed	19	-	26	3836	-0.00677789363920751
Aag2Ago1_PCLV_L.bed	20	+	399	3836	0.104014598540146
Aag2Ago1_PCLV_L.bed	20	-	60	3836	-0.0156412930135558
Aag2Ago1_PCLV_L.bed	21	+	523	3836	0.136339937434828
Aag2Ago1_PCLV_L.bed	21	-	117	3836	-0.0305005213764338
Aag2Ago1_PCLV_L.bed	22	+	557	3836	0.145203336809176
Aag2Ago1_PCLV_L.bed	22	-	76	3836	-0.0198123044838373
Aag2Ago1_PCLV_L.bed	23	+	858	3836	0.223670490093848
Aag2Ago1_PCLV_L.bed	23	-	52	3836	-0.013555787278415
Aag2Ago1_PCLV_L.bed	24	+	588	3836	0.153284671532847
Aag2Ago1_PCLV_L.bed	24	-	55	3836	-0.0143378519290928
Aag2Ago1_PCLV_S.bed	18	+	27	988	0.0273279352226721
Aag2Ago1_PCLV_S.bed	18	-	48	988	-0.048582995951417
Aag2Ago1_PCLV_S.bed	19	+	41	988	0.041497975708502
Aag2Ago1_PCLV_S.bed	19	-	28	988	-0.0283400809716599
Aag2Ago1_PCLV_S.bed	20	+	45	988	0.0455465587044534
Aag2Ago1_PCLV_S.bed	20	-	57	988	-0.0576923076923077
Aag2Ago1_PCLV_S.bed	21	+	141	988	0.142712550607287
Aag2Ago1_PCLV_S.bed	21	-	105	988	-0.106275303643725
Aag2Ago1_PCLV_S.bed	22	+	112	988	0.11336032388664
Aag2Ago1_PCLV_S.bed	22	-	59	988	-0.0597165991902834
Aag2Ago1_PCLV_S.bed	23	+	136	988	0.137651821862348
Aag2Ago1_PCLV_S.bed	23	-	88	988	-0.0890688259109312
Aag2Ago1_PCLV_S.bed	24	+	52	988	0.0526315789473684
Aag2Ago1_PCLV_S.bed	24	-	49	988	-0.0495951417004049
Aag2Ago1_PCLVM.bed	18	+	26	736	0.0353260869565217
Aag2Ago1_PCLVM.bed	18	-	4	736	-0.00543478260869565
Aag2Ago1_PCLVM.bed	19	+	39	736	0.0529891304347826
Aag2Ago1_PCLVM.bed	19	-	8	736	-0.0108695652173913
Aag2Ago1_PCLVM.bed	20	+	19	736	0.0258152173913043
Aag2Ago1_PCLVM.bed	20	-	30	736	-0.0407608695652174
Aag2Ago1_PCLVM.bed	21	+	65	736	0.0883152173913044
Aag2Ago1_PCLVM.bed	21	-	176	736	-0.239130434782609
Aag2Ago1_PCLVM.bed	22	+	83	736	0.112771739130435
Aag2Ago1_PCLVM.bed	22	-	114	736	-0.154891304347826
Aag2Ago1_PCLVM.bed	23	+	42	736	0.0570652173913043
Aag2Ago1_PCLVM.bed	23	-	22	736	-0.0298913043478261
Aag2Ago1_PCLVM.bed	24	+	40	736	0.0543478260869565
Aag2Ago1_PCLVM.bed	24	-	68	736	-0.0923913043478261
Aag2Ago2_CFAV.bed	18	+	623	31318	0.0198927134555208
Aag2Ago2_CFAV.bed	18	-	334	31318	-0.0106647934095408
Aag2Ago2_CFAV.bed	19	+	962	31318	0.0307171594610128
Aag2Ago2_CFAV.bed	19	-	684	31318	-0.0218404751261256
Aag2Ago2_CFAV.bed	20	+	1843	31318	0.0588479468676161
Aag2Ago2_CFAV.bed	20	-	1995	31318	-0.0637013857845329
Aag2Ago2_CFAV.bed	21	+	11641	31318	0.371703173893608
Aag2Ago2_CFAV.bed	21	-	11057	31318	-0.353055750686506
Aag2Ago2_CFAV.bed	22	+	854	31318	0.0272686633884667
Aag2Ago2_CFAV.bed	22	-	473	31318	-0.0151031355769845
Aag2Ago2_CFAV.bed	23	+	443	31318	0.0141452200012772
Aag2Ago2_CFAV.bed	23	-	107	31318	-0.0034165655533559
Aag2Ago2_CFAV.bed	24	+	264	31318	0.0084296570662239
Aag2Ago2_CFAV.bed	24	-	38	31318	-0.0012133597292292
Aag2Ago2_CLYA.bed	18	+	3206	395832	0.00809939570322763
Aag2Ago2_CLYA.bed	18	-	3583	395832	-0.00905181996402514
Aag2Ago2_CLYA.bed	19	+	7421	395832	0.0187478526243457
Aag2Ago2_CLYA.bed	19	-	7635	395832	-0.019288486024374
Aag2Ago2_CLYA.bed	20	+	21104	395832	0.053315548010267
Aag2Ago2_CLYA.bed	20	-	19006	395832	-0.0480153196305503
Aag2Ago2_CLYA.bed	21	+	167043	395832	0.422004789910871
Aag2Ago2_CLYA.bed	21	-	150864	395832	-0.381131389074153
Aag2Ago2_CLYA.bed	22	+	6389	395832	0.0161406859475737
Aag2Ago2_CLYA.bed	22	-	6399	395832	-0.0161659491905657
Aag2Ago2_CLYA.bed	23	+	1228	395832	0.0031023262394147
Aag2Ago2_CLYA.bed	23	-	1262	395832	-0.00318822126558742
Aag2Ago2_CLYA.bed	24	+	400	395832	0.00101052971967906
Aag2Ago2_CLYA.bed	24	-	292	395832	-0.000737686695365711
Aag2Ago2_CLYB.bed	18	+	3692	327509	0.0112729726511333
Aag2Ago2_CLYB.bed	18	-	3123	327509	-0.0095356158151379
Aag2Ago2_CLYB.bed	19	+	6812	327509	0.0207994284126543
Aag2Ago2_CLYB.bed	19	-	7058	327509	-0.0215505528092358
Aag2Ago2_CLYB.bed	20	+	17695	327509	0.0540290495833702
Aag2Ago2_CLYB.bed	20	-	17141	327509	-0.0523374930154591
Aag2Ago2_CLYB.bed	21	+	125437	327509	0.38300321517882
Aag2Ago2_CLYB.bed	21	-	131933	327509	-0.402837784610499
Aag2Ago2_CLYB.bed	22	+	6028	327509	0.0184056010674516
Aag2Ago2_CLYB.bed	22	-	5246	327509	-0.0160178804246601
Aag2Ago2_CLYB.bed	23	+	1351	327509	0.00412507747878684
Aag2Ago2_CLYB.bed	23	-	982	327509	-0.00299839088391464
Aag2Ago2_CLYB.bed	24	+	751	327509	0.00229306675541741
Aag2Ago2_CLYB.bed	24	-	260	327509	-0.000793871313460088
Aag2Ago2_PCLV_L.bed	18	+	564	10648	0.0529676934635612
Aag2Ago2_PCLV_L.bed	18	-	95	10648	-0.00892186326070624
Aag2Ago2_PCLV_L.bed	19	+	583	10648	0.0547520661157025
Aag2Ago2_PCLV_L.bed	19	-	172	10648	-0.0161532682193839
Aag2Ago2_PCLV_L.bed	20	+	1002	10648	0.0941021788129226
Aag2Ago2_PCLV_L.bed	20	-	347	10648	-0.0325882794891059
Aag2Ago2_PCLV_L.bed	21	+	3582	10648	0.336401202103681
Aag2Ago2_PCLV_L.bed	21	-	2534	10648	-0.237978963185575
Aag2Ago2_PCLV_L.bed	22	+	555	10648	0.052122464312547
Aag2Ago2_PCLV_L.bed	22	-	153	10648	-0.0143688955672427
Aag2Ago2_PCLV_L.bed	23	+	483	10648	0.0453606311044328
Aag2Ago2_PCLV_L.bed	23	-	54	10648	-0.00507137490608565
Aag2Ago2_PCLV_L.bed	24	+	484	10648	0.0454545454545455
Aag2Ago2_PCLV_L.bed	24	-	40	10648	-0.00375657400450789
Aag2Ago2_PCLV_S.bed	18	+	81	5346	0.0151515151515152
Aag2Ago2_PCLV_S.bed	18	-	78	5346	-0.0145903479236813
Aag2Ago2_PCLV_S.bed	19	+	147	5346	0.0274971941638608
Aag2Ago2_PCLV_S.bed	19	-	97	5346	-0.0181444070332959
Aag2Ago2_PCLV_S.bed	20	+	287	5346	0.0536849981294426
Aag2Ago2_PCLV_S.bed	20	-	225	5346	-0.0420875420875421
Aag2Ago2_PCLV_S.bed	21	+	2261	5346	0.422933034044145
Aag2Ago2_PCLV_S.bed	21	-	1827	5346	-0.341750841750842
Aag2Ago2_PCLV_S.bed	22	+	124	5346	0.023194912083801
Aag2Ago2_PCLV_S.bed	22	-	95	5346	-0.0177702955480733
Aag2Ago2_PCLV_S.bed	23	+	44	5346	0.00823045267489712
Aag2Ago2_PCLV_S.bed	23	-	32	5346	-0.00598578376356154
Aag2Ago2_PCLV_S.bed	24	+	31	5346	0.00579872802095024
Aag2Ago2_PCLV_S.bed	24	-	17	5346	-0.00317994762439207
Aag2Ago2_PCLVM.bed	18	+	31	2222	0.013951395139514
Aag2Ago2_PCLVM.bed	18	-	18	2222	-0.0081008100810081
Aag2Ago2_PCLVM.bed	19	+	90	2222	0.0405040504050405
Aag2Ago2_PCLVM.bed	19	-	61	2222	-0.0274527452745275
Aag2Ago2_PCLVM.bed	20	+	100	2222	0.045004500450045
Aag2Ago2_PCLVM.bed	20	-	91	2222	-0.040954095409541
Aag2Ago2_PCLVM.bed	21	+	587	2222	0.264176417641764
Aag2Ago2_PCLVM.bed	21	-	1055	2222	-0.474797479747975
Aag2Ago2_PCLVM.bed	22	+	70	2222	0.0315031503150315
Aag2Ago2_PCLVM.bed	22	-	36	2222	-0.0162016201620162
Aag2Ago2_PCLVM.bed	23	+	33	2222	0.0148514851485149
Aag2Ago2_PCLVM.bed	23	-	13	2222	-0.00585058505850585
Aag2Ago2_PCLVM.bed	24	+	33	2222	0.0148514851485149
Aag2Ago2_PCLVM.bed	24	-	4	2222	-0.0018001800180018
